ID,COORDS_X,COORDS_Y,AGE,ROOMS,HOUSESIZE,LOTSIZE,INQUALITY,PARKING,DISTAMEN,DISTCBD,PROXAMEN,DFLOOD100,TRPRICE,YEAR,ASKPRICE,AGE2,HOUSESIZE2,LOTSIZE2,LN_DISTCBD,LN_DISTAMEN
4067090,178762,315130,41,4,101,150,2,0,1503,3705,2237,0,153372,2012,159500,1681,10201,22500,8.2174387,7.3152184
6747209,177361,322949,49,6,143,395,4,1,665,5063,3074,1,313937,2019,324000,2401,20449,156025,8.5297146,6.4997869
6814504,176212,316461,62,5,137,395,5,1,546,1529,3193,0,632938,2019,645000,3844,18769,156025,7.3323693,6.302619
4754503,178888,315669,43,7,105,170,4,1,1718,3400,2021,0,186576,2014,189000,1849,11025,28900,8.1315308,7.448916
4283008,173010,317420,17,4,230,700,5,1,3668,3429,72,0,630279,2012,675000,289,52900,490000,8.1400242,8.2074022
3567202,178205,317725,90,7,178,447,5,0,1296,1829,2443,0,319787,2009,330000,8100,31684,199809,7.5115247,7.167038
5515538,175130,316806,53,8,160,630,4,1,1666,1724,2074,0,596681,2015,598000,2809,25600,396900,7.4524026,7.4181809
6899112,174242,316128,48,5,176,451,5,1,2498,2838,1242,0,560000,2020,575000,2304,30976,203401,7.9508548,7.8232455
6892863,173256,317071,40,6,115,133,4,1,3483,3266,257,0,235453,2019,239000,1600,13225,17689,8.091321,8.1556492
5077240,178511,315291,40,6,116,163,4,0,1278,3422,2461,0,190902,2014,195000,1600,13456,26569,8.1379805,7.1530519
1312837,176592,313990,100,10,165,760,4,1,47,3994,3692,0,432216,2006,475000,10000,27225,577600,8.2925482,3.8501475
3357878,177382,315793,87,1,190,215,4,1,288,2399,3452,0,288696,2008,349000,7569,36100,46225,7.7828074,5.6629605
4632987,178552,314899,29,6,120,139,4,0,1270,3761,2469,0,193518,2015,199000,841,14400,19321,8.23244,7.1467724
4512608,176203,316669,64,5,540,445,2,0,588,1324,3152,0,431008,2012,449000,4096,291600,198025,7.1884127,6.3767271
